release_year,Christian,Classical,Country,Hip Hop,Jazz,Latin,Metal,Pop,Rap,Rock
1992,444,6350,876,816,2345,893,793,1976,338,4328
1993,517,6828,1240,922,1924,526,960,1868,421,4401
1994,614,7079,1391,1055,2170,765,949,2085,517,3641
1995,668,5495,1578,1036,2434,624,992,2423,657,4175
1996,426,3855,1643,1105,2391,996,1048,2153,625,4046
1997,658,7062,1498,1032,2165,915,1199,2031,567,4037
1998,689,4372,1533,1458,2311,1033,1362,2205,963,3949
1999,998,1911,1395,1806,2056,1069,1795,2618,1053,3865
2000,965,1685,1903,1750,2207,978,1927,3097,1035,4179
2001,910,1085,1589,1896,1597,1371,2066,3138,1305,4494
2002,1006,1217,1857,1508,2227,1590,2094,3404,1283,4656
2003,1211,1164,1734,1797,1635,1729,2538,4352,1422,4837
2004,912,986,1824,1980,1547,1776,2288,4182,1551,4461
2005,1164,786,1964,1999,1762,1284,2170,4749,1571,4881
2006,1495,720,1930,1644,1404,1862,2028,4823,2058,4130
2007,1249,663,1530,1493,1109,1693,2361,4888,1709,4097
2008,1704,602,1854,1394,990,1546,2150,5217,1406,3885
2009,1227,620,1446,1403,1087,1820,2273,5839,1446,3765
2010,1502,547,1769,1232,766,1384,2071,6020,1525,3075
2011,1391,506,1445,1465,675,1230,2079,6127,1695,3297
2012,1379,366,1523,1549,644,1750,1785,6030,1595,2315
2013,1311,372,1716,1483,533,1243,1585,6582,1915,2621
2014,1385,322,1650,1810,532,1219,1484,6192,1545,2021
2015,1150,423,1467,1989,323,1376,1131,6014,1975,1508
2016,868,141,1280,2516,217,802,956,5307,1642,1318
2017,646,1474,1138,2376,200,628,540,4763,1399,1447
